Iteration,Avg Residual,Avg Error
343,-0.0281351,0.110241
344,-0.0281247,0.110206
345,-0.0281143,0.110171
346,-0.0281039,0.110136
347,-0.0280935,0.110101
348,-0.0280831,0.110066
349,-0.0280727,0.110031
350,-0.0280624,0.109996
351,-0.028052,0.109961
352,-0.0280417,0.109926
353,-0.0280313,0.109892
354,-0.028021,0.109857
355,-0.0280107,0.109822
356,-0.0280004,0.109788
357,-0.0279901,0.109753
358,-0.0279798,0.109718
359,-0.0279696,0.109684
360,-0.0279593,0.10965
361,-0.027949,0.109615
362,-0.0279388,0.109581
363,-0.0279286,0.109546
364,-0.0279183,0.109512
365,-0.0279081,0.109478
366,-0.0278979,0.109444
367,-0.0278877,0.10941
368,-0.0278775,0.109375
369,-0.0278673,0.109341
370,-0.0278572,0.109307
371,-0.027847,0.109273
372,-0.0278369,0.109239
373,-0.0278267,0.109206
374,-0.0278166,0.109172
375,-0.0278065,0.109138
376,-0.0277963,0.109104
377,-0.0277862,0.10907
378,-0.0277762,0.109037
379,-0.0277661,0.109003
380,-0.027756,0.108969
381,-0.0277459,0.108936
382,-0.0277359,0.108902
383,-0.0277258,0.108869
384,-0.0277158,0.108835
385,-0.0277057,0.108802
386,-0.0276957,0.108768
387,-0.0276857,0.108735
388,-0.0276757,0.108702
389,-0.0276657,0.108668
390,-0.0276557,0.108635
391,-0.0276458,0.108602
392,-0.0276358,0.108569
393,-0.0276258,0.108536
394,-0.0276159,0.108503
395,-0.0276059,0.10847
396,-0.027596,0.108437
397,-0.0275861,0.108404
398,-0.0275762,0.108371
399,-0.0275663,0.108338
400,-0.0275564,0.108305
401,-0.0275465,0.108272
402,-0.0275366,0.108239
403,-0.0275268,0.108207
404,-0.0275169,0.108174
405,-0.0275071,0.108141
406,-0.0274972,0.108109
407,-0.0274874,0.108076
408,-0.0274776,0.108044
409,-0.0274678,0.108011
410,-0.0274579,0.107979
411,-0.0274482,0.107946
412,-0.0274384,0.107914
413,-0.0274286,0.107881
414,-0.0274188,0.107849
415,-0.0274091,0.107817
416,-0.0273993,0.107785
417,-0.0273896,0.107752
418,-0.0273798,0.10772
419,-0.0273701,0.107688
420,-0.0273604,0.107656
421,-0.0273507,0.107624
422,-0.027341,0.107592
423,-0.0273313,0.10756
424,-0.0273216,0.107528
425,-0.027312,0.107496
426,-0.0273023,0.107464
427,-0.0272926,0.107433
428,-0.027283,0.107401
429,-0.0272734,0.107369
430,-0.0272637,0.107337
431,-0.0272541,0.107306
432,-0.0272445,0.107274
433,-0.0272349,0.107242
434,-0.0272253,0.107211
435,-0.0272157,0.107179
436,-0.0272061,0.107148
437,-0.0271966,0.107116
438,-0.027187,0.107085
439,-0.0271775,0.107053
440,-0.0271679,0.107022
441,-0.0271584,0.106991
442,-0.0271489,0.10696
443,-0.0271394,0.106928
444,-0.0271299,0.106897
445,-0.0271204,0.106866
446,-0.0271109,0.106835
447,-0.0271014,0.106804
448,-0.0270919,0.106773
449,-0.0270824,0.106742
450,-0.027073,0.106711
451,-0.0270635,0.10668
452,-0.0270541,0.106649
453,-0.0270447,0.106618
454,-0.0270353,0.106587
455,-0.0270258,0.106556
456,-0.0270164,0.106525
457,-0.027007,0.106495
458,-0.0269976,0.106464
459,-0.0269883,0.106433
460,-0.0269789,0.106403
461,-0.0269695,0.106372
462,-0.0269602,0.106342
463,-0.0269508,0.106311
464,-0.0269415,0.106281
465,-0.0269322,0.10625
466,-0.0269228,0.10622
467,-0.0269135,0.106189
468,-0.0269042,0.106159
469,-0.0268949,0.106129
470,-0.0268856,0.106098
471,-0.0268764,0.106068
472,-0.0268671,0.106038
473,-0.0268578,0.106008
474,-0.0268486,0.105977
475,-0.0268393,0.105947
476,-0.0268301,0.105917
477,-0.0268209,0.105887
478,-0.0268116,0.105857
479,-0.0268024,0.105827
480,-0.0267932,0.105797
481,-0.026784,0.105767
482,-0.0267748,0.105738
483,-0.0267657,0.105708
484,-0.0267565,0.105678
485,-0.0267473,0.105648
486,-0.0267382,0.105618
487,-0.026729,0.105589
488,-0.0267199,0.105559
489,-0.0267107,0.105529
490,-0.0267016,0.1055
491,-0.0266925,0.10547
492,-0.0266834,0.105441
493,-0.0266743,0.105411
494,-0.0266652,0.105382
495,-0.0266561,0.105352
496,-0.0266471,0.105323
497,-0.026638,0.105293
498,-0.0266289,0.105264
499,-0.0266199,0.105235
500,-0.0266108,0.105206
501,-0.0266018,0.105176
502,-0.0265928,0.105147
503,-0.0265838,0.105118
504,-0.0265747,0.105089
505,-0.0265657,0.10506
506,-0.0265567,0.105031
507,-0.0265478,0.105002
508,-0.0265388,0.104973
509,-0.0265298,0.104944
510,-0.0265208,0.104915
511,-0.0265119,0.104886
512,-0.0265029,0.104857
513,-0.026494,0.104828
514,-0.0264851,0.104799
515,-0.0264761,0.10477
516,-0.0264672,0.104742
517,-0.0264583,0.104713
518,-0.0264494,0.104684
519,-0.0264405,0.104656
520,-0.0264316,0.104627
521,-0.0264228,0.104598
522,-0.0264139,0.10457
523,-0.026405,0.104541
524,-0.0263962,0.104513
525,-0.0263873,0.104484
526,-0.0263785,0.104456
527,-0.0263697,0.104428
528,-0.0263609,0.104399
529,-0.026352,0.104371
530,-0.0263432,0.104343
531,-0.0263344,0.104314
532,-0.0263257,0.104286
533,-0.0263169,0.104258
534,-0.0263081,0.10423
535,-0.0262993,0.104202
536,-0.0262906,0.104174
537,-0.0262818,0.104145
538,-0.0262731,0.104117
539,-0.0262643,0.104089
540,-0.0262556,0.104061
541,-0.0262469,0.104033
542,-0.0262382,0.104006
543,-0.0262295,0.103978
544,-0.0262208,0.10395
545,-0.0262121,0.103922
546,-0.0262034,0.103894
547,-0.0261947,0.103866
548,-0.0261861,0.103839
549,-0.0261774,0.103811
550,-0.0261687,0.103783
551,-0.0261601,0.103756
552,-0.0261515,0.103728
553,-0.0261428,0.1037
554,-0.0261342,0.103673
555,-0.0261256,0.103645
556,-0.026117,0.103618
557,-0.0261084,0.10359
558,-0.0260998,0.103563
559,-0.0260912,0.103536
560,-0.0260826,0.103508
561,-0.0260741,0.103481
562,-0.0260655,0.103454
563,-0.026057,0.103426
564,-0.0260484,0.103399
565,-0.0260399,0.103372
566,-0.0260313,0.103345
567,-0.0260228,0.103318
568,-0.0260143,0.10329
569,-0.0260058,0.103263
570,-0.0259973,0.103236
571,-0.0259888,0.103209
572,-0.0259803,0.103182
573,-0.0259718,0.103155
574,-0.0259634,0.103128
575,-0.0259549,0.103101
576,-0.0259464,0.103075
577,-0.025938,0.103048
578,-0.0259296,0.103021
579,-0.0259211,0.102994
580,-0.0259127,0.102967
581,-0.0259043,0.102941
582,-0.0258959,0.102914
583,-0.0258875,0.102887
584,-0.0258791,0.102861
585,-0.0258707,0.102834
586,-0.0258623,0.102807
587,-0.0258539,0.102781
588,-0.0258455,0.102754
589,-0.0258372,0.102728
590,-0.0258288,0.102701
591,-0.0258205,0.102675
592,-0.0258121,0.102648
593,-0.0258038,0.102622
594,-0.0257955,0.102596
595,-0.0257872,0.102569
596,-0.0257789,0.102543
597,-0.0257705,0.102517
598,-0.0257623,0.102491
599,-0.025754,0.102464
600,-0.0257457,0.102438
601,-0.0257374,0.102412
602,-0.0257291,0.102386
603,-0.0257209,0.10236
604,-0.0257126,0.102334
605,-0.0257044,0.102308
606,-0.0256961,0.102282
607,-0.0256879,0.102256
608,-0.0256797,0.10223
609,-0.0256715,0.102204
610,-0.0256633,0.102178
611,-0.0256551,0.102152
612,-0.0256469,0.102126
613,-0.0256387,0.1021
614,-0.0256305,0.102075
615,-0.0256223,0.102049
616,-0.0256142,0.102023
617,-0.025606,0.101998
618,-0.0255978,0.101972
619,-0.0255897,0.101946
620,-0.0255816,0.101921
621,-0.0255734,0.101895
622,-0.0255653,0.101869
623,-0.0255572,0.101844
624,-0.0255491,0.101818
625,-0.025541,0.101793
626,-0.0255329,0.101768
627,-0.0255248,0.101742
628,-0.0255167,0.101717
629,-0.0255086,0.101691
630,-0.0255006,0.101666
631,-0.0254925,0.101641
632,-0.0254845,0.101615
633,-0.0254764,0.10159
634,-0.0254684,0.101565
635,-0.0254603,0.10154
636,-0.0254523,0.101515
637,-0.0254443,0.101489
638,-0.0254363,0.101464
639,-0.0254283,0.101439
640,-0.0254203,0.101414
641,-0.0254123,0.101389
642,-0.0254043,0.101364
643,-0.0253963,0.101339
644,-0.0253884,0.101314
645,-0.0253804,0.101289
646,-0.0253724,0.101264
647,-0.0253645,0.10124
648,-0.0253566,0.101215
649,-0.0253486,0.10119
650,-0.0253407,0.101165
651,-0.0253328,0.10114
652,-0.0253248,0.101116
653,-0.0253169,0.101091
654,-0.025309,0.101066
655,-0.0253011,0.101042
656,-0.0252933,0.101017
657,-0.0252854,0.100992
658,-0.0252775,0.100968
659,-0.0252696,0.100943
660,-0.0252618,0.100919
661,-0.0252539,0.100894
662,-0.0252461,0.10087
663,-0.0252382,0.100845
664,-0.0252304,0.100821
665,-0.0252226,0.100797
666,-0.0252148,0.100772
667,-0.0252069,0.100748
668,-0.0251991,0.100724
669,-0.0251913,0.100699
670,-0.0251835,0.100675
671,-0.0251758,0.100651
672,-0.025168,0.100627
673,-0.0251602,0.100602
674,-0.0251524,0.100578
675,-0.0251447,0.100554
676,-0.0251369,0.10053
677,-0.0251292,0.100506
678,-0.0251214,0.100482
679,-0.0251137,0.100458
680,-0.025106,0.100434
681,-0.0250983,0.10041
682,-0.0250906,0.100386
683,-0.0250829,0.100362
684,-0.0250752,0.100338
685,-0.0250675,0.100314
686,-0.0250598,0.100291
687,-0.0250521,0.100267
688,-0.0250444,0.100243
689,-0.0250368,0.100219
690,-0.0250291,0.100195
691,-0.0250215,0.100172
692,-0.0250138,0.100148
693,-0.0250062,0.100124
694,-0.0249985,0.100101
695,-0.0249909,0.100077
696,-0.0249833,0.100054
697,-0.0249757,0.10003
698,-0.0249681,0.100007
699,-0.0249605,0.099983
700,-0.0249529,0.0999595
701,-0.0249453,0.0999361
702,-0.0249377,0.0999126
703,-0.0249301,0.0998892
704,-0.0249226,0.0998659
705,-0.024915,0.0998425
706,-0.0249075,0.0998192
707,-0.0248999,0.0997959
708,-0.0248924,0.0997726
709,-0.0248848,0.0997493
710,-0.0248773,0.0997261
711,-0.0248698,0.0997029
712,-0.0248623,0.0996797
713,-0.0248548,0.0996566
714,-0.0248473,0.0996334
715,-0.0248398,0.0996103
716,-0.0248323,0.0995873
717,-0.0248248,0.0995642
718,-0.0248173,0.0995412
719,-0.0248098,0.0995182
720,-0.0248024,0.0994952
721,-0.0247949,0.0994722
722,-0.0247875,0.0994493
723,-0.02478,0.0994264
724,-0.0247726,0.0994035
725,-0.0247652,0.0993807
726,-0.0247577,0.0993578
727,-0.0247503,0.099335
728,-0.0247429,0.0993122
729,-0.0247355,0.0992895
730,-0.0247281,0.0992667
731,-0.0247207,0.099244
732,-0.0247133,0.0992213
733,-0.0247059,0.0991987
734,-0.0246986,0.099176
735,-0.0246912,0.0991534
736,-0.0246838,0.0991308
737,-0.0246765,0.0991083
738,-0.0246691,0.0990857
739,-0.0246618,0.0990632
740,-0.0246545,0.0990407
741,-0.0246471,0.0990182
742,-0.0246398,0.0989958
743,-0.0246325,0.0989734
744,-0.0246252,0.098951
745,-0.0246179,0.0989286
746,-0.0246106,0.0989062
747,-0.0246033,0.0988839
748,-0.024596,0.0988616
749,-0.0245887,0.0988393
750,-0.0245814,0.0988171
751,-0.0245742,0.0987949
752,-0.0245669,0.0987726
753,-0.0245597,0.0987505
754,-0.0245524,0.0987283
755,-0.0245452,0.0987062
756,-0.0245379,0.098684
757,-0.0245307,0.098662
758,-0.0245235,0.0986399
759,-0.0245163,0.0986178
760,-0.0245091,0.0985958
761,-0.0245019,0.0985738
762,-0.0244947,0.0985519
763,-0.0244875,0.0985299
764,-0.0244803,0.098508
765,-0.0244731,0.0984861
766,-0.0244659,0.0984642
